Time (ms),3xAA,4xAA,2xAA,Time (minutes),3xAA (V),4xAA (V),2xAA (V)
1610421,959,787,735,26.84035,4.6826171875,3.8427734375,3.5888671875
1615422,959,787,735,26.9237,4.6826171875,3.8427734375,3.5888671875
1620423,959,787,735,27.00705,4.6826171875,3.8427734375,3.5888671875
1625424,959,787,742,27.0904,4.6826171875,3.8427734375,3.623046875
1630426,959,786,735,27.1737666667,4.6826171875,3.837890625,3.5888671875
1635428,958,787,735,27.2571333333,4.677734375,3.8427734375,3.5888671875
1640429,958,786,735,27.3404833333,4.677734375,3.837890625,3.5888671875
1645430,958,787,767,27.4238333333,4.677734375,3.8427734375,3.7451171875
1650432,959,786,735,27.5072,4.6826171875,3.837890625,3.5888671875
1655433,958,786,765,27.59055,4.677734375,3.837890625,3.7353515625
1660434,958,786,773,27.6739,4.677734375,3.837890625,3.7744140625
1665435,957,785,734,27.75725,4.6728515625,3.8330078125,3.583984375
1670436,957,786,735,27.8406,4.6728515625,3.837890625,3.5888671875
1675438,958,786,733,27.9239666667,4.677734375,3.837890625,3.5791015625
1680440,957,786,733,28.0073333333,4.6728515625,3.837890625,3.5791015625
1685441,956,786,733,28.0906833333,4.66796875,3.837890625,3.5791015625
1690442,957,785,733,28.1740333333,4.6728515625,3.8330078125,3.5791015625
1695443,957,786,773,28.2573833333,4.6728515625,3.837890625,3.7744140625
1700445,957,785,772,28.34075,4.6728515625,3.8330078125,3.76953125
1705446,956,785,732,28.4241,4.66796875,3.8330078125,3.57421875
1710447,956,785,732,28.50745,4.66796875,3.8330078125,3.57421875
1715448,957,784,732,28.5908,4.6728515625,3.828125,3.57421875
1720450,956,785,764,28.6741666667,4.66796875,3.8330078125,3.73046875
1725452,956,784,732,28.7575333333,4.66796875,3.828125,3.57421875
1730453,956,785,733,28.8408833333,4.66796875,3.8330078125,3.5791015625
1735454,955,784,733,28.9242333333,4.6630859375,3.828125,3.5791015625
1740455,955,784,732,29.0075833333,4.6630859375,3.828125,3.57421875
1745457,955,784,732,29.09095,4.6630859375,3.828125,3.57421875
1750458,955,784,771,29.1743,4.6630859375,3.828125,3.7646484375
1755459,955,784,733,29.25765,4.6630859375,3.828125,3.5791015625
1760460,955,784,733,29.341,4.6630859375,3.828125,3.5791015625
1765462,955,784,761,29.4243666667,4.6630859375,3.828125,3.7158203125
1770464,955,783,731,29.5077333333,4.6630859375,3.8232421875,3.5693359375
1775465,955,784,733,29.5910833333,4.6630859375,3.828125,3.5791015625
1780466,954,783,732,29.6744333333,4.658203125,3.8232421875,3.57421875
1785467,954,783,738,29.7577833333,4.658203125,3.8232421875,3.603515625
1790469,954,783,735,29.84115,4.658203125,3.8232421875,3.5888671875
1795470,954,783,731,29.9245,4.658203125,3.8232421875,3.5693359375
1800471,954,783,765,30.00785,4.658203125,3.8232421875,3.7353515625
1805472,954,783,732,30.0912,4.658203125,3.8232421875,3.57421875
1810473,953,782,732,30.17455,4.6533203125,3.818359375,3.57421875
1815476,954,783,731,30.2579333333,4.658203125,3.8232421875,3.5693359375
1820477,953,783,732,30.3412833333,4.6533203125,3.8232421875,3.57421875
1825478,953,783,732,30.4246333333,4.6533203125,3.8232421875,3.57421875
1830479,953,782,760,30.5079833333,4.6533203125,3.818359375,3.7109375
1835481,953,782,772,30.59135,4.6533203125,3.818359375,3.76953125
1840482,952,782,735,30.6747,4.6484375,3.818359375,3.5888671875
1845483,953,782,732,30.75805,4.6533203125,3.818359375,3.57421875
1850484,952,782,731,30.8414,4.6484375,3.818359375,3.5693359375
1855485,952,782,762,30.92475,4.6484375,3.818359375,3.720703125
1860487,952,782,731,31.0081166667,4.6484375,3.818359375,3.5693359375
